fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"oleksandrev/ultimate-backend","https://github.com/oleksandrev/ultimate-backend","https://api.github.com/repos/oleksandrev/ultimate-backend","Multi tenant SaaS starter kit with cqrs graphql microservice architecture, apollo federation, event source and authentication","TypeScript","10","1","false","2026-01-29T04:19:27Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.695Z",""
"joelwembo/aws-cdk-multi-tenant-saas-ecommerce","https://github.com/joelwembo/aws-cdk-multi-tenant-saas-ecommerce","https://api.github.com/repos/joelwembo/aws-cdk-multi-tenant-saas-ecommerce","AWS CDK Infra with Terraform , CloudFormation, VPC, Typescript, DynamoDB, PostgreSQL, AWS EventBridge, AWS SQS, Kafka and API Gateway.","TypeScript","9","4","false","2025-08-31T23:49:30Z","aws|cdk|cdktf|postgres","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.544Z",""
"GodOfAgents/AgenticFunnels-Orchestration","https://github.com/GodOfAgents/AgenticFunnels-Orchestration","https://api.github.com/repos/GodOfAgents/AgenticFunnels-Orchestration","Deploy and Earn with Self-hosted, multi-tenant saas platform for Agentic Funnel Orchestration. Deploy intelligent Voice & Text AI agents with a no-code visual builder to automate your clients sales and support funnels.","TypeScript","9","1","false","2026-07-08T19:11:49Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.259Z",""
"sidekick0361/multi-tenant-saas-demo","https://github.com/sidekick0361/multi-tenant-saas-demo","https://api.github.com/repos/sidekick0361/multi-tenant-saas-demo","Next.js 14 technical demo for multi-tenant middleware, PostGIS geofence checks, and Socket.io real-time updates.","TypeScript","8","0","false","2026-06-05T07:46:13Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.457Z",""
"carlos-hfc/next-saas-rbac","https://github.com/carlos-hfc/next-saas-rbac","https://api.github.com/repos/carlos-hfc/next-saas-rbac","This project contains all the necessary boilerplate to setup a multi-tenant SaaS with Next.js including authentication and RBAC authorization.","TypeScript","8","2","false","2025-12-08T17:44:14Z","fastify|multi-tenant|next-themes|nextjs|nodejs|prisma-orm|radix-ui|rbac|react|rocketseat|saas|shadcn-ui|tailwindcss|tanstack-react-query|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.046Z",""
"thefreelight/Jiffoo","https://github.com/thefreelight/Jiffoo","https://api.github.com/repos/thefreelight/Jiffoo","Open-source commerce core with storefront, admin, themes, plugins, and marketplace-ready architecture.","TypeScript","8","1","false","2026-08-01T22:59:08Z","ecommerce|fastify|headless-commerce|marketplace|multi-tenant|nextjs|plugins|prisma|saas|themes","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.346Z",""
"akoskm/saas","https://github.com/akoskm/saas","https://api.github.com/repos/akoskm/saas","SaaS boilerplate with built-in multi-tenant support","TypeScript","7","2","false","2024-03-07T21:41:26Z","docker|docker-compose|fusionauth|react|remix|tailwindcss|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.327Z",""
"BasaltBase/BasaltPassDev","https://github.com/BasaltBase/BasaltPassDev","https://api.github.com/repos/BasaltBase/BasaltPassDev","BasaltPass is a production-ready, multi-tenant identity and access platform for modern SaaS systems. It provides OAuth 2.0 / OIDC authentication, tenant-aware RBAC, and service-to-service (S2S) APIs in one unified stack.","TypeScript","7","3","false","2026-08-10T00:06:57Z","authentication|baas|basalt|go|oidc","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:50.158Z",""
"Cognipeer/console-sdk","https://github.com/Cognipeer/console-sdk","https://api.github.com/repos/Cognipeer/console-sdk","⬛️ Official TypeScript/JavaScript SDK for Cognipeer Console - A multi-tenant SaaS platform for AI and Agentic services","TypeScript","7","0","false","2026-07-17T11:51:48Z","cognipeer","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.626Z",""
"Alisha-21-cloud/zyra","https://github.com/Alisha-21-cloud/zyra","https://api.github.com/repos/Alisha-21-cloud/zyra","Zyra is a SaaS platform for AI-powered customer support, built with Next.js, React, and Convex. It offers real-time AI chat, voice agents, knowledge base search, and secure multi-tenant management—enabling automated, scalable support with human escalation.","TypeScript","7","1","false","2026-08-05T16:39:40Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:51.328Z",""
